OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
173;United Kingdom;East Anglia North Tranche One West (Norfolk Vanguard West);90;1800;Planned;;47493,02143;295,0692553; ;0,824137175;0,039413459
174;Denmark;Fanm Bugt;;;Planned;;16822,22359;236,2616555; ;0,89461495;0,033356358
175;Denmark;Frederikshavn;;;Planned;;8136,957581;522,3662102; ;1,41422614;0,078329027
176;Denmark;Nordsren II vest;;;Planned;;107551,0545;353,4425021; ;1,149829618;0,050582144
177;Denmark;Vesterhav Syd;21;168;Approved;;4096,542108;46,58195873; ;0,397145007;0,006716204
178;Denmark;Bornholm II;;;Planned;;8013,135899;661,3780171; ;2,115383648;0,092368098
179;Denmark;Jammerbugt;;;Planned;;19922,75592;162,1955559; ;1,199551538;0,02422068
180;Denmark;Krigers Flak Nord;;;Planned;;15010,56237;98,07397179; ;0,570941879;0,013819807
181;Denmark;Kattegat I;;;Planned;;15019,33589;914,1270414; ;2,067095608;0,134727187
182;Denmark;Kattegat II;;;Planned;;14997,41804;122,0390058; ;0,837776047;0,017732582
183;Denmark;Nordsren III vest;;;Planned;;109379,6883;4484,631882; ;4,609766598;0,648767079
184;Denmark;Vesterhav Nord;20;160;Approved;;3994,347038;58,39470622; ;0,449470812;0,008542773
185;Denmark;Bornholm I;;;Planned;;5278,915472;422,042681; ;1,426312203;0,059225466
186;Denmark;Bornholm III;;;Planned;;41701,44163;61,08005965; ;0,632983291;0,008487486
187;Denmark;Nordsren II;;;Planned;;49194,17296;1872,947241; ;2,71549342;0,271655864
188;Denmark;Bornholm I;;;Planned;;5000,551352;71,19329941; ;0,422362478;0,010035933
189;Denmark;Jyske Banke;;;Planned;;43772,74317;802,7320635; ;3,04486904;0,118727833
190;Denmark;Krigers Flak Syd;;;Planned;;14997,87344;75,25638161; ;0,722000024;0,010536173
191;Denmark;Nordsren III;;;Planned;;73863,31624;1642,594272; ;2,30798522;0,24007788
192;Denmark;Thor;;;Planned;;19876,53951;440,4000642; ;1,232791943;0,063930034
193;Denmark;Hesselk;;;Planned;;19402,92127;246,8045459; ;0,917985426;0,035948583
194;Denmark;Bornholm;;100;Planned;;5448,413913;34,70462083; ;0,351234713;0,004871085
195;Denmark;Nordsren I;;;Planned;;19964,41934;3176,141656; ;3,229937941;0,457433147
196;Denmark;Samsa;10;23;Production;2003;3456,959784;0,88253064; ;0,060560869;0,000126145
197;Denmark;Horns Rev I;80;160;Production;2002;13863,4889;19,62375164; ;0,231339312;0,002788168
198;Denmark;Anholt;111;399,6;Production;2012;15488,51828;90,47521304; ;0,578813729;0,013228267
199;Denmark;Middelgrunden;20;40;Production;2000;1137,778165;1,112638479; ;0,075018057;0,000158907
200;Denmark;Frederikshavn Offshore;3;7,6;Production;2003;0;0,241544162; ;0,027362975;3,61199E-05
201;Denmark;Nissum Bredning;4;28;Production;2018;552,097023;1,033167885; ;0,053087284;0,000151339
202;Denmark;Horns Rev II;91;209,3;Production;2009;28725,07362;31,3778734; ;0,288064125;0,004471047
203;Denmark;Renland;8;17;Production;2003;89,43775564;0,670548585; ;0,051260115;9,81987E-05
204;Denmark;Kriegers Flak;72;605;Production;2021;13553,54874;173,1323081; ;1,0780072;0,024317991
205;Denmark;Nysted;72;165;Production;2003;4268,795443;23,04548423; ;0,255023219;0,003199364
206;Denmark;Sprogr;7;21;Production;2009;517,208032;0,880490759; ;0,095585779;0,000124655
207;Denmark;Tunm Knob;10;5;Production;1995;2887,190673;0,320264524; ;0,027235085;4,60648E-05
208;Denmark;Avedare Holme;3;11;Production;2011;0;0,341857069; ;0,040488511;4,87139E-05
209;Denmark;Horns Rev III;49;407;Production;2019;22454,02964;90,30504268; ;0,5267831;0,012898481
210;Denmark;Redsand II;90;207;Production;2010;1583,234324;31,72543489; ;0,365909422;0,004404961
211;Denmark;Nordre Flint;;160;Planned;;2596,116185;17,62113974; ;0,254648105;0,002514387
212;Denmark;Kadetbanke;;864;Planned;;12052,10152;71,60848359; ;0,662550964;0,010004349
213;Denmark;Frederikshavn Offshore Demo;;72;Planned;;999,2954602;5,732934272; ;0,13607988;0,000857461
214;Denmark;Aflandshage;;250;Planned;;7991,035641;43,31492416; ;0,364064093;0,006146037
215;Denmark;Lillebklt Syd;;160;Planned;;2315,854059;37,31603193; ;0,331072951;0,005263062
216;Denmark;NW Grund;;;Planned;;1145,646755;1,64807932; ;0,066666666;0,000233333
217;Denmark;Mejl Flak;;120;Planned;;2440,389455;55,97546182; ;0,422165477;0,00806153
218;Denmark;Trem Mkllebugt;;720;Planned;;19223,2815;52,21470146; ;0,438773727;0,007670809
219;Denmark;Lillebklt Syd;;160;Planned;;1627,686435;54,19901154; ;0,390798343;0,007630334
220;Denmark;Omn Syd;;320;Planned;;5719,421577;24,53998253; ;0,252342252;0,003447895
221;Denmark;Paludan Flak;;228;Planned;;2976,848626;14,24572371; ;0,180912689;0,002035876
222;Denmark;Jammerland Bugt;;240;Planned;;6009,065634;31,13595066; ;0,35098993;0,004433319
223;France;Parc eolien pose au large de la Normadie (AO4);;1000;Planned;2020;32637,22508;496,3882017; ;1,445377382;0,062069555
224;Latvia;E4;;;Planned;2019;11521,98987;607,6896193; ;1,494376379;0,090097582
225;Latvia;E1;;;Planned;2019;38190,59605;407,5884312; ;1,295938223;0,058827932
226;Latvia;E2;;;Planned;2019;18195,57531;100,5589221; ;0,532343436;0,014518152
227;Latvia;E3;;;Planned;2019;10923,95596;349,0145462; ;1,041587017;0,051403576
228;Latvia;E5;;;Planned;2019;11674,08974;183,7625658; ;0,849899477;0,027790862
229;Netherlands;Borssele;;1502,5;Planned;;24230,41161;344,9161967; ;0,926652563;0,044840233
230;Netherlands;IJmuiden Ver;;4000;Planned;;49466,89817;1171,962071; ;1,985665552;0,156443409
231;Netherlands;Hollandse Kust D;;;Planned;;51467,1609;348,4515793; ;1,165577346;0,046245797
232;Netherlands;Hollandse Kust E;;;Planned;;25149,64131;189,4548465; ;0,875355475;0,025298803
233;Netherlands;Hollandse Kust (Noord);126;700;Approved;;18656,29802;290,2304947; ;0,81253133;0,038559063
234;Netherlands;Hollandse Kust (Zuid);;1649;Planned;;18567,7698;352,3567343; ;0,935381375;0,046440883
235;Netherlands;Hollandse Kust (West);;1400;Planned;;33940,28853;217,3849736; ;0,69338512;0,028639056
236;Netherlands;"Hollandse Kust F
";;;Planned;;49025,26361;30,40945459; ;0,314013985;0,003990372
237;Netherlands;Ten Noorden van de Wadden;;700;Planned;;56043,8601;217,0441823; ;1,786751921;0,029756638
238;Netherlands;Borssele Kavel II;47;376;Production;2020;24230,41161;63,52807343; ;0,355817183;0,008247041
239;Netherlands;Borssele Kavel III;37;352;Production;2020;29530,46428;71,48971368; ;0,437242738;0,009287471
240;Netherlands;Borssele Kavel IV;40;353;Production;2020;40217,61261;74,64694638; ;0,554258459;0,009711931
241;Netherlands;Borssele Kavel V;;19;Production;2020;34823,9613;0,589997693; ;0,044064499;7,67161E-05
242;Netherlands;NSW Offshore windpark Egmond aan Zee;36;108;Production;2006;10019,42042;26,12691789; ;0,272385251;0,00346571
243;Netherlands;Prinses Amalia Windparken;60;120;Production;2008;23076,96098;21,66925207; ;0,213300159;0,002873192
244;Netherlands;WP Q10 / Eneco Luchterduinen;43;129;Production;2015;22340,70219;15,90282068; ;0,210316646;0,002099943
245;Netherlands;ZeeEnergie / Gemini II;75;300;Production;2017;57835,0724;33,3616138; ;0,30925421;0,004574523
246;Netherlands;Buitengaats / Gemini I;75;300;Production;2017;56043,8601;34,2622696; ;0,292840403;0,004698449
247;Netherlands;HKZ Kavel IV;70;700;Construction;;18604,03444;90,19593158; ;0,583604675;0,011890362
248;Netherlands;HKZ Kavel III;70;700;Construction;;18625,92986;53,80330974; ;0,380663612;0,007076501
249;Netherlands;HKZ Kavel II;70;700;Construction;;23510,24223;47,78079378; ;0,332869131;0,006293311
250;Netherlands;HKZ Kavel I;70;700;Construction;;22358,89872;67,27617779; ;0,571905973;0,008877361
