; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1978-08-14,Journée de Oued Ed-Dahab
1978-08-20,Commémoration de la révolution du Roi et du peuple
1978-09-03,Eid al-Fitr* (*estimated)
1978-09-04,Eid al-Fitr* (*estimated)
1978-11-06,Marche verte
1978-11-10,Eid al-Adha* (*estimated)
1978-11-11,Eid al-Adha* (*estimated)
1978-11-18,Fête de l'indépendance
1978-12-01,1er Moharram* (*estimated)
1979-01-01,Nouvel an - Premier janvier
1979-01-11,Commémoration de la présentation du manifeste de l'indépendance
1979-02-09,Aid al Mawlid Annabawi* (*estimated)
1979-02-10,Aid al Mawlid Annabawi* (*estimated)
1979-03-03,Fête du Trône
1979-05-01,Fête du Travail
1979-07-09,Fête du Trône
1979-08-14,Journée de Oued Ed-Dahab
1979-08-20,Commémoration de la révolution du Roi et du peuple
1979-08-23,Eid al-Fitr* (*estimated)
1979-08-24,Eid al-Fitr* (*estimated)
1979-10-31,Eid al-Adha* (*estimated)
1979-11-01,Eid al-Adha* (*estimated)
1979-11-06,Marche verte
1979-11-18,Fête de l'indépendance
1979-11-20,1er Moharram* (*estimated)
1980-01-01,Nouvel an - Premier janvier
1980-01-11,Commémoration de la présentation du manifeste de l'indépendance
1980-01-30,Aid al Mawlid Annabawi* (*estimated)
1980-01-31,Aid al Mawlid Annabawi* (*estimated)
1980-03-03,Fête du Trône
1980-05-01,Fête du Travail
1980-07-09,Fête du Trône
1980-08-12,Eid al-Fitr* (*estimated)
1980-08-13,Eid al-Fitr* (*estimated)
1980-08-14,Journée de Oued Ed-Dahab
1980-08-20,Commémoration de la révolution du Roi et du peuple
1980-10-19,Eid al-Adha* (*estimated)
1980-10-20,Eid al-Adha* (*estimated)
1980-11-06,Marche verte
1980-11-09,1er Moharram* (*estimated)
1980-11-18,Fête de l'indépendance
1981-01-01,Nouvel an - Premier janvier
1981-01-11,Commémoration de la présentation du manifeste de l'indépendance
1981-01-18,Aid al Mawlid Annabawi* (*estimated)
1981-01-19,Aid al Mawlid Annabawi* (*estimated)
1981-03-03,Fête du Trône
1981-05-01,Fête du Travail
1981-07-09,Fête du Trône
1981-08-01,Eid al-Fitr* (*estimated)
1981-08-02,Eid al-Fitr* (*estimated)
1981-08-14,Journée de Oued Ed-Dahab
1981-08-20,Commémoration de la révolution du Roi et du peuple
1981-10-08,Eid al-Adha* (*estimated)
1981-10-09,Eid al-Adha* (*estimated)
1981-10-28,1er Moharram* (*estimated)
1981-11-06,Marche verte
1981-11-18,Fête de l'indépendance
1982-01-01,Nouvel an - Premier janvier
1982-01-07,Aid al Mawlid Annabawi* (*estimated)
1982-01-08,Aid al Mawlid Annabawi* (*estimated)
1982-01-11,Commémoration de la présentation du manifeste de l'indépendance
1982-03-03,Fête du Trône
1982-05-01,Fête du Travail
1982-07-09,Fête du Trône
1982-07-21,Eid al-Fitr* (*estimated)
1982-07-22,Eid al-Fitr* (*estimated)
1982-08-14,Journée de Oued Ed-Dahab
1982-08-20,Commémoration de la révolution du Roi et du peuple
1982-09-27,Eid al-Adha* (*estimated)
1982-09-28,Eid al-Adha* (*estimated)
1982-10-18,1er Moharram* (*estimated)
1982-11-06,Marche verte
1982-11-18,Fête de l'indépendance
1982-12-27,Aid al Mawlid Annabawi* (*estimated)
1982-12-28,Aid al Mawlid Annabawi* (*estimated)
1983-01-01,Nouvel an - Premier janvier
1983-01-11,Commémoration de la présentation du manifeste de l'indépendance
1983-03-03,Fête du Trône
1983-05-01,Fête du Travail
1983-07-09,Fête du Trône
1983-07-11,Eid al-Fitr* (*estimated)
1983-07-12,Eid al-Fitr* (*estimated)
1983-08-14,Journée de Oued Ed-Dahab
1983-08-20,Commémoration de la révolution du Roi et du peuple
1983-09-17,Eid al-Adha* (*estimated)
1983-09-18,Eid al-Adha* (*estimated)
1983-10-07,1er Moharram* (*estimated)
1983-11-06,Marche verte
1983-11-18,Fête de l'indépendance
1983-12-16,Aid al Mawlid Annabawi* (*estimated)
1983-12-17,Aid al Mawlid Annabawi* (*estimated)
1984-01-01,Nouvel an - Premier janvier
